detector,descriptor,frame,lidar_ttc,image_ttc
SHITOMASI,BRISK,9,12.1889,10.6861
SHITOMASI,BRISK,14,11.6992,16.3571
SHITOMASI,BRISK,16,9.37072,20.7376
SHITOMASI,FREAK,10,15.3122,17.0299
SHITOMASI,FREAK,12,10.4633,18.8317
SHITOMASI,AKAZE,1,13.7365,13.9773
SHITOMASI,AKAZE,2,11.5888,14.5336
SHITOMASI,AKAZE,3,18.3729,12.0086
SHITOMASI,AKAZE,4,12.4296,12.9162
SHITOMASI,AKAZE,5,13.4841,12.4072
SHITOMASI,AKAZE,6,7.04164,13.4007
SHITOMASI,AKAZE,7,51.4338,13.4354
SHITOMASI,AKAZE,8,22.9753,12.9162
SHITOMASI,AKAZE,9,12.1889,11.7271
SHITOMASI,AKAZE,10,15.3122,14.1028
SHITOMASI,AKAZE,11,9.91929,11.7916
SHITOMASI,AKAZE,12,10.4633,11.5256
SHITOMASI,AKAZE,13,9.16567,12.0767
SHITOMASI,AKAZE,14,11.6992,11.5384
SHITOMASI,AKAZE,15,7.88476,12.0133
SHITOMASI,AKAZE,16,9.37072,9.6205
SHITOMASI,AKAZE,17,9.33367,10.9456
SHITOMASI,AKAZE,18,9.21515,9.01942
SHITOMASI,SIFT,1,13.7365,14.6768
SHITOMASI,SIFT,2,11.5888,14.5935
SHITOMASI,SIFT,3,18.3729,12.1
SHITOMASI,SIFT,4,12.4296,12.7521
SHITOMASI,SIFT,5,13.4841,12.3705
SHITOMASI,SIFT,6,7.04164,13.5822
SHITOMASI,SIFT,7,51.4338,12.998
SHITOMASI,SIFT,8,22.9753,13.756
SHITOMASI,SIFT,9,12.1889,12.2294
SHITOMASI,SIFT,10,15.3122,13.3762
SHITOMASI,SIFT,11,9.91929,11.848
SHITOMASI,SIFT,12,10.4633,11.6524
SHITOMASI,SIFT,13,9.16567,12.1119
SHITOMASI,SIFT,14,11.6992,11.5384
SHITOMASI,SIFT,15,7.88476,10.9611
SHITOMASI,SIFT,16,9.37072,12.0866
SHITOMASI,SIFT,17,9.33367,10.9456
SHITOMASI,SIFT,18,9.21515,9.73863
HARRIS,BRISK,1,13.7365,5.68103
HARRIS,BRISK,2,11.5888,18.3069
HARRIS,BRISK,7,51.4338,13.4123
HARRIS,BRISK,8,22.9753,21.6612
HARRIS,BRISK,9,12.1889,-inf
HARRIS,BRISK,10,15.3122,20.2637
HARRIS,BRISK,11,9.91929,-13.2855
HARRIS,BRISK,13,9.16567,23.8124
HARRIS,BRISK,14,11.6992,12.2131
HARRIS,BRISK,16,9.37072,31.4854
HARRIS,BRISK,18,9.21515,38.1958
HARRIS,BRIEF,3,18.3729,13.9652
